EP,S1,S2,S3,S4,S5,S6,S7,S8,S9
1,4.64,3.47,2.93,2.5,2.13,1.85,1.4,1.27,1.04
2,3.89,3.8,2.89,2.65,2.27,1.65,1.36,1.18,1.04
3,4.53,3.88,2.48,2.76,2.16,1.78,1.41,1.16,0.94
4,4.38,3.7,2.99,2.42,2.38,1.81,1.41,1.09,1
5,4.38,3.72,2.79,2.33,2.1,1.51,1.29,1.15,0.96
6,4.44,3.89,2.76,2.7,2.16,1.68,1.47,1.22,1.05
7,4.03,3.41,2.79,2.81,2.08,1.83,1.35,1.13,1.07
8,3.96,3.42,3.52,2.59,2.31,1.88,1.51,1.3,0.97
9,4.45,4,2.95,2.59,2.3,1.87,1.64,1.07,0.96
10,3.82,4.48,3.16,2.76,2.34,1.92,1.68,1.08,0.86
11,3.96,3.57,2.28,1.87,1.74,1.37,1.18,0.82,
12,3.47,3.75,2.28,1.67,1.51,1.53,1.06,0.91,
13,,3.36,2.35,1.46,1.71,1.28,0.95,0.77,
14,,3.07,2.53,1.7,1.58,1.21,0.99,0.78,
15,,2.9,2.5,1.8,1.73,1.25,1.09,0.69,
16,,3.2,2.4,1.55,1.71,1.13,1.07,0.74,
